data,data2
4e-07,175683.655658826
4.61563054733728e-07,183128.011988126
5.23126109467456e-07,178586.056785333
5.84689164201183e-07,177523.774989144
6.46252218934911e-07,178012.758079498
7.07815273668639e-07,176843.447166487
7.69378328402367e-07,177629.521286369
8.30941383136095e-07,178471.506121142
8.92504437869823e-07,178736.028854689
9.5406749260355e-07,179024.789910794
1.01563054733728e-06,179200.335075648
1.07719360207101e-06,179448.940665387
1.13875665680473e-06,180015.332200461
1.20031971153846e-06,180819.466198637
1.26188276627219e-06,182157.392021608
1.32344582100592e-06,185717.038191328
1.38500887573965e-06,194869.678663089
1.44657193047337e-06,203138.914588389
1.5081349852071e-06,188225.872498062
1.56969803994083e-06,176900.589683128
1.63126109467456e-06,176476.279950098
1.69282414940828e-06,176584.130944899
1.75438720414201e-06,176675.900452058
1.81595025887574e-06,176745.846779486
1.87751331360947e-06,175236.697798481
1.9390763683432e-06,175595.670070777
2.00063942307692e-06,175095.790592579
2.06220247781065e-06,177291.532057648
2.12376553254438e-06,176317.203711935
2.18532858727811e-06,177043.575455336
2.24689164201183e-06,173375.279241167
2.30845469674556e-06,160581.717303524
2.37001775147929e-06,178274.139257998
2.43158080621302e-06,179550.285177086
2.49314386094675e-06,155552.568336376
2.55470691568047e-06,162378.271774047
2.6162699704142e-06,174242.266033425
2.67783302514793e-06,170817.741594525
2.73939607988166e-06,152658.484401618
2.80095913461538e-06,139368.823168718
2.86252218934911e-06,135482.25571134
2.92408524408284e-06,130130.657715111
2.98564829881657e-06,126496.67621139
3.0472113535503e-06,123103.880577172
3.10877440828402e-06,113431.851950296
3.17033746301775e-06,121395.934302314
3.23190051775148e-06,118487.624705963
3.29346357248521e-06,87043.2960359457
3.35502662721893e-06,32606.7020611691
3.41658968195266e-06,37829.0845873002
3.47815273668639e-06,32159.6662110356
3.53971579142012e-06,89041.3563243176
3.60127884615385e-06,134840.885280936
3.66284190088757e-06,143205.836556889
3.7244049556213e-06,137063.582461811
3.78596801035503e-06,94690.2318203454
3.84753106508876e-06,46017.1721516594
3.90909411982249e-06,44707.8374430787
3.97065717455621e-06,45945.2735479441
4.03222022928994e-06,68159.5574273109
4.09378328402367e-06,128189.499855132
4.1553463387574e-06,153496.145551745
4.21690939349112e-06,161454.596561254
4.27847244822485e-06,160985.518634666
4.34003550295858e-06,165508.746479961
4.40159855769231e-06,164882.05233035
4.46316161242604e-06,158859.296964245
4.52472466715976e-06,147652.527910999
4.58628772189349e-06,135690.171018737
4.64785077662722e-06,110608.414937876
4.70941383136095e-06,134965.106410658
4.77097688609467e-06,164918.679240668
4.8325399408284e-06,166531.244699262
4.89410299556213e-06,166268.260092241
4.95566605029586e-06,165453.67614054
5.01722910502959e-06,163486.275681591
5.07879215976331e-06,153316.477321852
5.14035521449704e-06,151945.994553803
5.20191826923077e-06,142938.754290651
5.2634813239645e-06,127441.09960722
5.32504437869823e-06,111377.181429127
5.38660743343195e-06,91638.3284608238
5.44817048816568e-06,68876.3191500959
5.50973354289941e-06,53929.1145238559
