wavenumber,blue,black,red
3699.822,16.21756,16.88744,42.82561
3700.786,16.29341,17.09173,43.47705
3701.75,16.28881,17.15976,44.37669
3702.715,16.52678,17.29761,45.26404
3703.679,16.62835,17.56422,46.01038
3704.643,16.63548,17.60913,46.05661
3705.607,16.85674,17.56726,46.23245
3706.572,16.86274,17.6307,46.6041
3707.536,17.00455,17.87972,47.13625
3708.5,17.08521,17.96375,47.09835
3709.465,17.26231,18.02587,46.97637
3710.429,17.43183,18.18194,47.452
3711.393,17.39252,18.1937,47.58312
3712.357,17.37785,18.12343,47.3162
3713.322,17.47524,18.27079,47.42007
3714.286,17.67292,18.62884,47.66957
3715.25,17.83907,18.58777,47.5871
3716.214,17.97453,18.47169,47.6077
3717.178,18.08611,18.66255,47.69881
3718.143,18.05931,18.81167,47.64702
3719.107,18.18311,18.80225,47.86601
3720.071,18.21999,18.94197,47.88096
3721.035,18.33681,19.16283,47.77589
3722,18.37796,19.21316,47.80779
3722.964,18.56264,19.22353,47.96323
3723.928,18.81435,19.18402,47.9651
3724.893,18.63233,19.33738,48.0517
3725.857,18.53606,19.32801,48.17844
3726.821,18.89705,19.3266,48.04649
3727.785,19.04111,19.39471,47.79384
3728.75,19.05031,19.47244,47.79361
3729.714,19.02463,19.41286,48.13783
3730.678,19.00688,19.41607,48.26014
3731.642,19.21484,19.65717,48.15021
3732.606,19.42805,19.77332,48.26363
3733.571,19.46533,19.94083,48.36008
3734.535,19.75976,20.00257,48.2869
3735.499,19.94445,20.01048,48.20517
3736.463,19.8614,20.20966,48.41202
3737.428,19.89841,20.2471,48.55298
3738.392,20.03937,20.29157,48.58291
3739.356,20.05216,20.38745,48.48837
3740.321,20.07057,20.52578,48.5016
3741.285,20.13008,20.57235,48.54014
3742.249,20.32436,20.61395,48.72763
3743.213,20.48191,20.81614,48.73776
3744.177,20.47819,20.99939,48.63459
3745.142,20.55503,21.03371,48.60533
3746.106,20.66228,21.0013,48.50996
3747.07,20.89018,21.08233,48.57222
3748.034,21.06152,21.21264,48.69424
3748.999,21.02429,21.25183,48.69963
3749.963,21.01573,21.43527,48.77026
3750.927,21.08399,21.51954,48.70511
3751.891,21.24166,21.61965,48.78369
3752.856,21.36845,21.69552,49.11178
3753.82,21.36465,21.81595,49.21877
3754.784,21.42706,21.92584,49.17079
3755.749,21.54652,21.99266,49.19166
3756.713,21.61362,22.06487,49.1773
3757.677,21.67771,22.12361,49.13771
3758.641,21.86484,22.17438,49.29063
3759.605,22.11949,22.24038,49.26113
3760.57,22.17929,22.32786,49.03408
3761.534,22.1491,22.38842,48.95208
3762.498,22.19913,22.44233,49.12573
3763.462,22.22914,22.55065,49.35023
3764.427,22.31452,22.56779,49.43842
3765.391,22.38408,22.56824,49.30332
3766.355,22.44975,22.77509,49.26372
3767.319,22.61557,22.90447,49.40569
3768.284,22.68259,22.84101,49.47952
3769.248,22.75783,22.77864,49.45594
3770.212,22.82362,22.87737,49.45676
3771.177,22.86206,23.08625,49.53101
3772.141,22.82951,23.21372,49.46988
3773.105,22.83611,23.20827,49.33318
3774.069,22.9764,23.13726,49.41774
3775.033,23.05724,23.11582,49.48576
3775.998,23.04194,23.26189,49.53641
3776.962,23.11337,23.24827,49.60743
3777.926,23.27426,23.19158,49.58272
3778.89,23.36146,23.2933,49.58008
3779.855,23.40782,23.37886,49.67687
3780.819,23.41162,23.43719,49.72367
3781.783,23.43089,23.49624,49.613
3782.747,23.52253,23.55496,49.5563
3783.712,23.63145,23.57576,49.643
3784.676,23.65649,23.64712,49.70451
3785.64,23.62731,23.72517,49.71856
3786.604,23.65405,23.71576,49.77164
3787.569,23.75189,23.74484,49.76834
3788.533,23.82749,23.79433,49.77975
3789.497,23.90668,23.74739,49.85324
3790.461,23.89416,23.75884,49.79097
3791.426,23.84474,23.89665,49.75939
3792.39,23.81837,23.92312,49.76529
3793.354,23.8677,23.96633,49.77213
3794.318,23.95452,24.02575,49.78838
3795.283,24.0238,23.96313,49.74464
3796.247,24.06187,23.94508,49.74846
3797.211,24.0447,23.98503,49.72617
3798.175,24.05614,24.03835,49.73324
3799.14,24.07607,24.12096,49.84146
3800.104,24.10161,24.15836,49.94035
3801.068,24.12957,24.15195,49.87298
3802.032,24.10516,24.13671,49.77874
3802.997,24.09685,24.15679,49.77272
3803.961,24.13311,24.23509,49.79555
3804.925,24.20249,24.23616,49.8545
3805.889,24.20673,24.17404,49.85946
3806.854,24.17385,24.12955,49.79089
3807.818,24.16647,24.12098,49.81656
3808.782,24.1538,24.16864,49.90088
3809.746,24.20318,24.21439,49.90145
3810.711,24.24693,24.25876,49.9206
3811.675,24.24301,24.25829,49.89856
3812.639,24.20615,24.23428,49.85446
3813.603,24.20436,24.21344,49.85056
3814.568,24.20024,24.23066,49.86374
3815.532,24.11326,24.23199,49.84886
3816.496,24.09952,24.20109,49.84833
3817.46,24.16077,24.18035,49.89309
3818.425,24.15325,24.19448,49.92159
3819.389,24.11099,24.17446,49.9079
3820.353,24.05928,24.13507,49.81632
3821.317,24.03251,24.11683,49.81349
3822.281,24.01755,24.12302,49.86585
3823.246,23.9848,24.13551,49.86725
3824.21,23.97664,24.11608,49.91862
3825.174,23.9923,24.05072,49.92735
3826.139,23.95299,24.0635,49.89543
3827.103,23.90443,24.06726,49.87909
3828.067,23.88063,24.02523,49.89599
3829.031,23.84841,24.0206,49.87784
3829.996,23.84283,24.02179,49.86687
3830.96,23.85892,24.00193,49.86866
3831.924,23.86822,23.98802,49.88469
3832.888,23.86876,24.00447,49.92448
3833.853,23.86285,23.99921,49.93115
3834.817,23.82777,23.96867,49.86605
3835.781,23.82579,23.96602,49.84499
3836.745,23.84125,23.95307,49.85429
3837.709,23.84115,23.96517,49.83036
3838.674,23.87771,23.96999,49.87966
3839.638,23.88858,23.94507,49.88459
3840.602,23.91701,23.95741,49.85699
3841.567,23.95185,23.97823,49.86878
3842.531,23.9725,23.97189,49.88586
3843.495,23.95861,23.96844,49.86019
3844.459,23.97336,23.9492,49.80626
3845.424,23.9946,23.94176,49.76072
3846.388,23.97589,23.94032,49.78528
3847.352,23.95346,23.93876,49.82465
3848.316,23.97567,23.94631,49.84719
3849.281,24.00311,23.9616,49.82755
3850.245,24.01764,23.95967,49.80951
3851.209,23.98327,23.93217,49.7564
3852.173,23.96669,23.94466,49.722
3853.137,23.97012,23.94091,49.69502
3854.102,23.92847,23.92587,49.63696
3855.066,23.97483,23.89647,49.67548
3856.03,24.01792,23.88554,49.72625
3856.995,24.01973,23.88513,49.72808
3857.959,24.02434,23.86174,49.74183
3858.923,24.04578,23.87284,49.7386
3859.887,24.02491,23.89126,49.69894
3860.852,23.97201,23.85597,49.6813
3861.816,23.96482,23.83427,49.6924
3862.78,23.96784,23.82132,49.68872
3863.744,23.95275,23.79911,49.67597
3864.708,23.93328,23.78161,49.65128
3865.673,23.91834,23.77346,49.64433
3866.637,23.94317,23.74982,49.67763
3867.601,23.94473,23.74411,49.68472
3868.565,23.9396,23.73467,49.64084
3869.53,23.90826,23.73331,49.591
3870.494,23.87181,23.74776,49.60079
3871.458,23.89205,23.72818,49.65463
3872.423,23.89686,23.69518,49.68204
3873.387,23.88416,23.68229,49.68317
3874.351,23.86565,23.6621,49.6819
3875.315,23.83475,23.64675,49.68374
3876.28,23.8195,23.63752,49.70989
3877.244,23.79945,23.62725,49.6786
3878.208,23.78448,23.61204,49.65221
3879.172,23.75562,23.59065,49.64814
3880.136,23.71894,23.56426,49.63103
3881.101,23.72297,23.53873,49.63076
3882.065,23.71765,23.5052,49.6341
3883.029,23.70299,23.48477,49.63719
3883.993,23.68693,23.47371,49.63263
3884.958,23.63792,23.4651,49.58501
3885.922,23.62042,23.44142,49.56373
3886.886,23.62272,23.40714,49.58563
3887.851,23.62914,23.37557,49.60761
3888.815,23.62849,23.35119,49.6058
3889.779,23.60422,23.32389,49.57587
3890.743,23.5798,23.29242,49.54396
3891.708,23.5549,23.27389,49.54311
3892.672,23.54009,23.24753,49.5555
3893.636,23.52725,23.21524,49.53453
3894.6,23.49795,23.19293,49.49851
3895.564,23.48303,23.15662,49.48846
3896.529,23.47291,23.12,49.48403
3897.493,23.44986,23.07806,49.46304
3898.457,23.43011,23.03617,49.43242
3899.421,23.39338,22.99778,49.41743
3900.386,23.36947,22.95024,49.40539
3901.35,23.35677,22.89759,49.36994
3902.314,23.3481,22.84521,49.35854
3903.279,23.31894,22.80306,49.34193
3904.243,23.28382,22.76004,49.31205
