Wavelength (nm),Ikaite
350,0.425289693
351,0.416061543
352,0.421667993
353,0.426690444
354,0.426200044
355,0.420403015
356,0.425935805
357,0.431148583
358,0.42972594
359,0.434827954
360,0.434840201
361,0.430928606
362,0.432231909
363,0.433564433
364,0.433855678
365,0.433673004
366,0.437377948
367,0.43794737
368,0.435814235
369,0.440855268
370,0.440959064
371,0.439130861
372,0.441670368
373,0.441986558
374,0.441232068
375,0.441239399
376,0.444458588
377,0.444718758
378,0.443695575
379,0.446875958
380,0.445112208
381,0.444207844
382,0.448435538
383,0.448153454
384,0.447771778
385,0.448628415
386,0.44859569
387,0.448303177
388,0.448758881
389,0.450599597
390,0.450825032
391,0.451439505
392,0.453080544
393,0.452504212
394,0.452725087
395,0.45391821
396,0.454583643
397,0.454114328
398,0.454222178
399,0.45592802
400,0.455461686
401,0.455588543
402,0.456856528
403,0.45639536
404,0.456708711
405,0.45766085
406,0.458175536
407,0.458424718
408,0.458941276
409,0.459806185
410,0.459444826
411,0.460054766
412,0.46152899
413,0.461341723
414,0.461964885
415,0.462963906
416,0.463200438
417,0.463401476
418,0.46375839
419,0.464235568
420,0.464345675
421,0.464811472
422,0.465527345
423,0.46570059
424,0.466147721
425,0.466637272
426,0.46677001
427,0.466965874
428,0.467264853
429,0.467581974
430,0.467587211
431,0.467832566
432,0.46822594
433,0.468198087
434,0.468482757
435,0.468854153
436,0.468940279
437,0.469095787
438,0.469259998
439,0.469394656
440,0.469541709
441,0.470013219
442,0.470579966
443,0.470599052
444,0.470990615
445,0.471437129
446,0.471473683
447,0.471828166
448,0.472316516
449,0.472709875
450,0.472766835
451,0.473148423
452,0.473654966
453,0.473414622
454,0.473797053
455,0.47432064
456,0.474222898
457,0.474559565
458,0.474897199
459,0.474961353
460,0.475145986
461,0.475355503
462,0.475509835
463,0.475521577
464,0.475617343
465,0.475719942
466,0.475715883
467,0.476017928
468,0.476265852
469,0.476244948
470,0.476325927
471,0.476425748
472,0.476500799
473,0.476533076
474,0.476668933
475,0.476767416
476,0.476646249
477,0.476876348
478,0.47712428
479,0.477133827
480,0.477305747
481,0.477475862
482,0.477573269
483,0.477633625
484,0.477816087
485,0.47804219
486,0.478139267
487,0.47841148
488,0.478690199
489,0.478814211
490,0.479030674
491,0.479197392
492,0.479275262
493,0.479425073
494,0.479579492
495,0.47971206
496,0.479814953
497,0.480037523
498,0.480237557
499,0.480256147
500,0.480289979
501,0.480343301
502,0.480414381
503,0.480539313
504,0.480657988
505,0.480718662
506,0.480662446
507,0.480741897
508,0.480834959
509,0.48073186
510,0.480803598
511,0.480855555
512,0.480743131
513,0.480742946
514,0.480798115
515,0.480846675
516,0.480800052
517,0.480871382
518,0.480994728
519,0.480968471
520,0.481062496
521,0.481158375
522,0.481120781
523,0.481181844
524,0.481300135
525,0.481424322
526,0.481518639
527,0.481638354
528,0.481755542
529,0.481761476
530,0.481901953
531,0.482077561
532,0.482104908
533,0.482256386
534,0.482441318
535,0.482561858
536,0.48266506
537,0.482814682
538,0.482995699
539,0.483049985
540,0.483207757
541,0.483409323
542,0.483441448
543,0.483557863
544,0.483744027
545,0.48391833
546,0.48401487
547,0.484096579
548,0.484203881
549,0.484291627
550,0.484410141
551,0.484543976
552,0.484602406
553,0.484720839
554,0.484856338
555,0.484905482
556,0.484984629
557,0.485070303
558,0.485125307
559,0.485156699
560,0.485189112
561,0.485236801
562,0.485294102
563,0.485385396
564,0.48547681
565,0.485487841
566,0.485525008
567,0.485575691
568,0.485594639
569,0.485582624
570,0.485582042
571,0.485615489
572,0.485622507
573,0.485675494
574,0.485756216
575,0.485695661
576,0.485700583
577,0.485761192
578,0.485757136
579,0.485754935
580,0.485809639
581,0.485949729
582,0.486044163
583,0.486200215
584,0.486486026
585,0.486823509
586,0.487277786
587,0.487788537
588,0.488153222
589,0.48841711
590,0.488538846
591,0.488465078
592,0.488326514
593,0.488257935
594,0.488342474
595,0.48845744
596,0.488613148
597,0.488787236
598,0.488863985
599,0.48897149
600,0.489146035
601,0.489361971
602,0.489559409
603,0.489748201
604,0.489947243
605,0.490019501
606,0.490129231
607,0.490378955
608,0.490557888
609,0.490745391
610,0.490946905
611,0.491057086
612,0.491084032
613,0.491059519
614,0.491038477
615,0.49101102
616,0.491000618
617,0.491024347
618,0.491029934
619,0.49103227
620,0.491050497
621,0.49110563
622,0.491148579
623,0.491191121
624,0.491313795
625,0.491405387
626,0.491495834
627,0.491658523
628,0.49173699
629,0.491819169
630,0.491985288
631,0.492096223
632,0.492191817
633,0.49229242
634,0.492364353
635,0.492434077
636,0.492528666
637,0.492680673
638,0.492753475
639,0.492806095
640,0.492940964
641,0.493042801
642,0.493119854
643,0.493199195
644,0.493323981
645,0.493407159
646,0.493446422
647,0.493572003
648,0.493648449
649,0.493692625
650,0.49379596
651,0.493892708
652,0.493991407
653,0.494104522
654,0.494173569
655,0.4942478
656,0.494358289
657,0.494485395
658,0.49458352
659,0.494657936
660,0.494764612
661,0.494886754
662,0.495005231
663,0.495100913
664,0.495197242
665,0.495302617
666,0.495423369
667,0.495578543
668,0.495683393
669,0.495739343
670,0.49590653
671,0.496012614
672,0.49606515
673,0.496170835
674,0.496262377
675,0.496352984
676,0.496464213
677,0.49655449
678,0.496628395
679,0.496702465
680,0.496819188
681,0.496911169
682,0.496983014
683,0.497114396
684,0.497206287
685,0.497255425
686,0.497296527
687,0.497361297
688,0.497444304
689,0.49753247
690,0.497618094
691,0.497670303
692,0.497705462
693,0.497827988
694,0.497907455
695,0.497950538
696,0.498034995
697,0.49811624
698,0.498170054
699,0.498190643
700,0.498247509
701,0.498306084
702,0.498348453
703,0.498414783
704,0.498441815
705,0.498440197
706,0.498483457
707,0.498506799
708,0.498513325
709,0.498528712
710,0.49858749
711,0.49862026
712,0.498595722
