T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,Vol%,,
,,,,Gypsum,Calcite,Dolomite,Gypsum,Calcite,Dolomite
272.19,947.006,1.00889,53.8929,0,0.316264,0,0.0%,100.0%,0.0%
272.15,758.08,1.00978,260.988,0,0.341268,0,0.0%,100.0%,0.0%
272.11,630.56,1.01067,400.775,0,0.360778,0,0.0%,100.0%,0.0%
272.07,538.931,1.01155,501.221,0,0.376537,0,0.0%,100.0%,0.0%
272.03,468.475,1.01238,578.446,0.0224389,0.387583,0,5.5%,94.5%,0.0%
271.99,411.685,1.01311,640.672,0.0786702,0.392971,0,16.7%,83.3%,0.0%
271.95,367.1,1.01385,689.524,0.122173,0.397385,0,23.5%,76.5%,0.0%
271.91,331.176,1.01458,728.888,0.156728,0.401077,0,28.1%,71.9%,0.0%
271.87,301.618,1.01532,761.276,0.18476,0.404218,0,31.4%,68.6%,0.0%
271.83,276.876,1.01606,788.389,0.207904,0.40693,0,33.8%,66.2%,0.0%
271.79,255.863,1.01679,811.414,0.227292,0.4093,0,35.7%,64.3%,0.0%
271.75,237.798,1.01753,831.211,0.243735,0.411395,0,37.2%,62.8%,0.0%
271.71,222.101,1.01827,848.413,0.257831,0.413263,0,38.4%,61.6%,0.0%
271.67,207.89,1.01895,863.983,0.279463,0.404456,0.0100274,40.3%,58.3%,1.4%
271.63,195.018,1.01958,878.084,0.306471,0.387748,0.0274875,42.5%,53.7%,3.8%
271.59,183.637,1.0202,890.551,0.330319,0.372951,0.0430231,44.3%,50.0%,5.8%
271.55,173.503,1.02082,901.652,0.351521,0.359758,0.0569369,45.8%,46.8%,7.4%
271.51,164.422,1.02144,911.6,0.370484,0.347927,0.069471,47.0%,44.2%,8.8%
271.47,156.239,1.02206,920.564,0.387535,0.337261,0.0808205,48.1%,41.9%,10.0%
271.43,148.827,1.02268,928.684,0.40294,0.327599,0.0911455,49.0%,39.9%,11.1%
271.39,142.082,1.0233,936.074,0.416921,0.318808,0.100581,49.9%,38.1%,12.0%
271.35,135.918,1.02392,942.827,0.429655,0.310781,0.109234,50.6%,36.6%,12.9%
271.31,130.263,1.02454,949.022,0.441294,0.303427,0.117197,51.2%,35.2%,13.6%
271.27,125.057,1.02516,954.726,0.451967,0.296666,0.124551,51.8%,34.0%,14.3%
271.23,120.248,1.02577,959.996,0.461783,0.290434,0.131362,52.3%,32.9%,14.9%
271.19,115.792,1.02639,964.878,0.470832,0.284674,0.137686,52.7%,31.9%,15.4%
271.15,111.652,1.027,969.414,0.479192,0.27934,0.143572,53.1%,31.0%,15.9%
271.11,107.795,1.02762,973.641,0.486936,0.274387,0.149067,53.5%,30.1%,16.4%
271.07,104.193,1.02823,977.588,0.494119,0.269782,0.154203,53.8%,29.4%,16.8%
