T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,Vol%,,
,,,,Gypsum,Calcite,Dolomite,Gypsum,Calcite,Dolomite
272.15,758.08,1.00978,260.988,0,0.341269,0,0.0%,100.0%,0.0%
272.11,630.56,1.01067,139.788,0,0.331368,0,0.0%,100.0%,0.0%
272.07,538.932,1.01155,100.446,0,0.327617,0,0.0%,100.0%,0.0%
272.03,468.475,1.01238,77.225,0.0224389,0.322905,0,6.5%,93.5%,0.0%
271.99,411.685,1.01311,62.2252,0.0562285,0.317246,0,15.1%,84.9%,0.0%
271.95,367.1,1.01385,48.853,0.0435047,0.316273,0,12.1%,87.9%,0.0%
271.91,331.176,1.01458,39.3636,0.0345557,0.315551,0,9.9%,90.1%,0.0%
271.87,301.618,1.01532,32.3883,0.0280332,0.315,0,8.2%,91.8%,0.0%
271.83,276.876,1.01606,27.1123,0.0231434,0.31457,0,6.9%,93.1%,0.0%
271.79,255.863,1.01679,23.0258,0.0193873,0.314229,0,5.8%,94.2%,0.0%
271.75,237.798,1.01753,19.7968,0.0164434,0.313953,0,5.0%,95.0%,0.0%
271.71,222.101,1.01827,17.2014,0.0140959,0.313727,0,4.3%,95.7%,0.0%
271.67,207.89,1.01895,15.5706,0.0216318,0.303051,0.0100275,6.5%,90.5%,3.0%
271.63,195.018,1.01958,14.1006,0.0270091,0.29515,0.0174608,8.0%,86.9%,5.1%
271.59,183.636,1.0202,12.4672,0.0238488,0.297061,0.0155358,7.1%,88.3%,4.6%
271.55,173.503,1.02082,11.1012,0.0212009,0.298667,0.013913,6.4%,89.5%,4.2%
271.51,164.422,1.02144,9.94761,0.0189627,0.300027,0.0125338,5.7%,90.5%,3.8%
271.47,156.239,1.02206,8.9645,0.0170509,0.301192,0.0113496,5.2%,91.4%,3.4%
271.43,148.827,1.02268,8.12,0.015405,0.302197,0.0103252,4.7%,92.2%,3.1%
271.39,142.082,1.0233,7.3894,0.0139799,0.303068,0.00943471,4.3%,92.8%,2.9%
271.35,135.918,1.02392,6.75304,0.0127347,0.303831,0.0086535,3.9%,93.4%,2.7%
271.31,130.263,1.02454,6.19542,0.0116398,0.304504,0.00796405,3.6%,94.0%,2.5%
271.27,125.057,1.02516,5.7042,0.0106735,0.305098,0.00735394,3.3%,94.4%,2.3%
271.23,120.248,1.02577,5.26918,0.00981401,0.305627,0.00680952,3.0%,94.8%,2.1%
271.19,115.792,1.02639,4.88223,0.00904842,0.306099,0.00632384,2.8%,95.2%,2.0%
271.15,111.652,1.027,4.53654,0.00836291,0.306523,0.00588844,2.6%,95.6%,1.8%
271.11,107.795,1.02762,4.22632,0.00774278,0.306906,0.00549333,2.4%,95.9%,1.7%
271.07,104.193,1.02823,3.94703,0.00718308,0.307253,0.00513662,2.2%,96.1%,1.6%
271.03,100.821,1.02885,3.69468,0.0066751,0.307568,0.00481269,2.1%,96.4%,1.5%
270.99,97.6586,1.02946,3.46592,0.00621222,0.307855,0.00451744,1.9%,96.6%,1.4%
270.95,94.6857,1.03008,3.25787,0.0057879,0.308119,0.00424645,1.8%,96.8%,1.3%
270.91,91.8861,1.03069,3.06829,0.00540256,0.308358,0.00400185,1.7%,97.0%,1.3%
270.87,89.2448,1.03131,2.89482,0.00504417,0.308581,0.00377331,1.6%,97.2%,1.2%
270.83,86.7486,1.03192,2.73584,0.00471457,0.308786,0.00356385,1.5%,97.4%,1.1%
270.79,84.3858,1.03254,2.58978,0.00440966,0.308976,0.00337057,1.4%,97.5%,1.1%
