T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,Vol%,,,
,,,,Gypsum,Meridianiite,Mirabilite,Picromerite,Gypsum,Meridianiite,Mirabilite,Picromerite
270.9,243.535,1.05265,824.09,0.000715314,0,0,0,100.0%,0.0%,0.0%,0.0%
270.85,234.693,1.05435,833.778,0.00692833,0,0,0,100.0%,0.0%,0.0%,0.0%
270.8,226.445,1.05604,842.817,0.0127183,0,0,0,100.0%,0.0%,0.0%,0.0%
270.75,218.733,1.05774,851.269,0.0181246,0,0,0,100.0%,0.0%,0.0%,0.0%
270.7,211.509,1.05943,859.187,0.0231856,0,0,0,100.0%,0.0%,0.0%,0.0%
270.65,204.729,1.06113,866.619,0.027928,0,0,0,100.0%,0.0%,0.0%,0.0%
270.6,198.354,1.06284,873.608,0.032383,0,0,0,100.0%,0.0%,0.0%,0.0%
270.55,192.35,1.06454,880.19,0.0365784,0,0,0,100.0%,0.0%,0.0%,0.0%
270.5,186.687,1.06624,886.4,0.0405305,0,0,0,100.0%,0.0%,0.0%,0.0%
270.45,181.337,1.06794,892.266,0.0442632,0,0,0,100.0%,0.0%,0.0%,0.0%
270.4,176.277,1.06965,897.816,0.0477942,0,0,0,100.0%,0.0%,0.0%,0.0%
270.35,171.484,1.07135,903.073,0.0511397,0,0,0,100.0%,0.0%,0.0%,0.0%
270.3,166.938,1.07305,908.06,0.0543107,0,0,0,100.0%,0.0%,0.0%,0.0%
270.25,162.621,1.07476,912.796,0.0573233,0,0,0,100.0%,0.0%,0.0%,0.0%
270.2,158.518,1.07646,917.298,0.0601885,0,0,0,100.0%,0.0%,0.0%,0.0%
270.15,154.613,1.07815,921.583,0.0629183,0,0,0,100.0%,0.0%,0.0%,0.0%
270.1,150.893,1.07985,925.665,0.0655186,0,0,0,100.0%,0.0%,0.0%,0.0%
270.05,147.346,1.08155,929.559,0.0680006,0,0,0,100.0%,0.0%,0.0%,0.0%
270,143.96,1.08324,933.275,0.0703728,0,0,0,100.0%,0.0%,0.0%,0.0%
269.95,140.726,1.08494,936.825,0.0726421,0,0,0,100.0%,0.0%,0.0%,0.0%
269.9,137.634,1.08663,940.221,0.0748152,0,0,0,100.0%,0.0%,0.0%,0.0%
269.85,134.183,1.08827,943.929,0.0773837,0,0.0799614,0,49.2%,0.0%,50.8%,0.0%
269.8,129.328,1.08978,948.92,0.081401,0,0.418546,0,16.3%,0.0%,83.7%,0.0%
269.75,124.821,1.09128,953.554,0.0851355,0,0.733446,0,10.4%,0.0%,89.6%,0.0%
269.7,120.622,1.09277,957.87,0.0886263,0,1.02774,0,7.9%,0.0%,92.1%,0.0%
269.65,116.706,1.09426,961.895,0.0918861,0,1.30268,0,6.6%,0.0%,93.4%,0.0%
269.6,113.042,1.09574,965.659,0.0949442,0,1.56058,0,5.7%,0.0%,94.3%,0.0%
269.55,109.609,1.0972,969.187,0.0978187,0,1.80296,0,5.1%,0.0%,94.9%,0.0%
269.5,106.385,1.09866,972.499,0.100526,0,2.03122,0,4.7%,0.0%,95.3%,0.0%
269.45,103.354,1.10012,975.613,0.103076,0,2.24617,0,4.4%,0.0%,95.6%,0.0%
269.4,100.497,1.10156,978.548,0.105489,0,2.44952,0,4.1%,0.0%,95.9%,0.0%
269.35,97.8007,1.10299,981.317,0.107771,0,2.64181,0,3.9%,0.0%,96.1%,0.0%
269.3,95.2527,1.10442,983.934,0.109935,0,2.82405,0,3.7%,0.0%,96.3%,0.0%
