T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,Vol%,,,
,,,,Gypsum,Meridianiite,Mirabilite,Picromerite,Gypsum,Meridianiite,Mirabilite,Picromerite
270.85,234.693,1.05435,833.778,0.00692857,0,0,0,100.0%,0.0%,0.0%,0.0%
270.8,226.445,1.05604,9.03907,0.00578968,0,0,0,100.0%,0.0%,0.0%,0.0%
270.75,218.733,1.05774,8.45162,0.00540539,0,0,0,100.0%,0.0%,0.0%,0.0%
270.7,211.509,1.05944,7.91822,0.00505962,0,0,0,100.0%,0.0%,0.0%,0.0%
270.65,204.729,1.06113,7.4324,0.00474412,0,0,0,100.0%,0.0%,0.0%,0.0%
270.6,198.354,1.06284,6.98869,0.00445559,0,0,0,100.0%,0.0%,0.0%,0.0%
270.55,192.35,1.06454,6.58243,0.00419512,0,0,0,100.0%,0.0%,0.0%,0.0%
270.5,186.687,1.06624,6.20945,0.00395237,0,0,0,100.0%,0.0%,0.0%,0.0%
270.45,181.337,1.06794,5.86632,0.00373304,0,0,0,100.0%,0.0%,0.0%,0.0%
270.4,176.277,1.06965,5.54989,0.00353072,0,0,0,100.0%,0.0%,0.0%,0.0%
270.35,171.484,1.07135,5.2575,0.00334544,0,0,0,100.0%,0.0%,0.0%,0.0%
270.3,166.938,1.07305,4.98674,0.00317107,0,0,0,100.0%,0.0%,0.0%,0.0%
270.25,162.621,1.07476,4.7356,0.00301256,0,0,0,100.0%,0.0%,0.0%,0.0%
270.2,158.518,1.07646,4.50221,0.00286518,0,0,0,100.0%,0.0%,0.0%,0.0%
270.15,154.613,1.07815,4.28496,0.00272972,0,0,0,100.0%,0.0%,0.0%,0.0%
270.1,150.893,1.07985,4.08236,0.00259965,0,0,0,100.0%,0.0%,0.0%,0.0%
270.05,147.346,1.08155,3.8932,0.00248278,0,0,0,100.0%,0.0%,0.0%,0.0%
270,143.96,1.08324,3.71628,0.00237284,0,0,0,100.0%,0.0%,0.0%,0.0%
269.95,140.726,1.08494,3.55058,0.00226862,0,0,0,100.0%,0.0%,0.0%,0.0%
269.9,137.634,1.08663,3.3952,0.00217294,0,0,0,100.0%,0.0%,0.0%,0.0%
269.85,134.183,1.08827,3.70898,0.00257006,0,0.0800545,0,3.1%,0.0%,96.9%,0.0%
269.8,129.328,1.08978,4.99149,0.00401736,0,0.338591,0,1.2%,0.0%,98.8%,0.0%
269.75,124.82,1.09128,4.63337,0.00373417,0,0.314878,0,1.2%,0.0%,98.8%,0.0%
269.7,120.623,1.09277,4.31435,0.00348709,0,0.294045,0,1.2%,0.0%,98.8%,0.0%
269.65,116.705,1.09426,4.0267,0.00326473,0,0.275269,0,1.2%,0.0%,98.8%,0.0%
269.6,113.042,1.09574,3.76396,0.00305656,0,0.257797,0,1.2%,0.0%,98.8%,0.0%
269.55,109.609,1.0972,3.52833,0.002876,0,0.242481,0,1.2%,0.0%,98.8%,0.0%
269.5,106.386,1.09866,3.31076,0.0027025,0,0.227918,0,1.2%,0.0%,98.8%,0.0%
269.45,103.354,1.10012,3.11475,0.0025521,0,0.215138,0,1.2%,0.0%,98.8%,0.0%
269.4,100.497,1.10156,2.93455,0.00241211,0,0.203275,0,1.2%,0.0%,98.8%,0.0%
269.35,97.8009,1.10299,2.76881,0.00228242,0,0.192296,0,1.2%,0.0%,98.8%,0.0%
269.3,95.2525,1.10441,2.61735,0.00216644,0,0.182405,0,1.2%,0.0%,98.8%,0.0%
269.25,92.8411,1.10583,2.47572,0.00205256,0,0.172821,0,1.2%,0.0%,98.8%,0.0%
