T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,Vol%,
,,,,Gypsum,Mirabilite,Gypsum,Mirabilite
272.15,859.663,1.01106,148.554,0.599046,0,100.0%,0.0%
272.1,684.634,1.01221,340.034,0.756289,0,100.0%,0.0%
272.05,567.699,1.01338,467.964,0.858483,0,100.0%,0.0%
272,484.103,1.01456,559.422,0.929979,0,100.0%,0.0%
271.95,421.412,1.01575,628.012,0.982678,0,100.0%,0.0%
271.9,372.688,1.01696,681.321,1.02307,0,100.0%,0.0%
271.85,333.757,1.01818,723.918,1.05497,0,100.0%,0.0%
271.8,301.954,1.0194,758.716,1.08078,0,100.0%,0.0%
271.75,275.499,1.02063,787.664,1.10208,0,100.0%,0.0%
271.7,253.158,1.02187,812.112,1.11995,0,100.0%,0.0%
271.65,234.048,1.02311,833.024,1.13514,0,100.0%,0.0%
271.6,217.522,1.02437,851.109,1.14822,0,100.0%,0.0%
271.55,203.094,1.02562,866.899,1.15958,0,100.0%,0.0%
271.5,190.392,1.02688,880.8,1.16955,0,100.0%,0.0%
271.45,179.127,1.02815,893.129,1.17837,0,100.0%,0.0%
271.4,169.071,1.02942,904.136,1.18621,0,100.0%,0.0%
271.35,160.042,1.03069,914.02,1.19324,0,100.0%,0.0%
271.3,151.891,1.03197,922.942,1.19957,0,100.0%,0.0%
271.25,144.498,1.03325,931.034,1.2053,0,100.0%,0.0%
271.2,137.764,1.03454,938.407,1.21051,0,100.0%,0.0%
271.15,131.605,1.03582,945.149,1.21527,0,100.0%,0.0%
271.1,125.952,1.03712,951.339,1.21963,0,100.0%,0.0%
271.05,120.746,1.03841,957.039,1.22364,0,100.0%,0.0%
271,115.936,1.0397,962.306,1.22734,0,100.0%,0.0%
270.95,111.48,1.041,967.185,1.23077,0,100.0%,0.0%
270.9,107.341,1.0423,971.718,1.23395,0,100.0%,0.0%
270.85,103.486,1.0436,975.939,1.2369,0,100.0%,0.0%
270.8,99.8885,1.04491,979.88,1.23966,0,100.0%,0.0%
270.75,96.5232,1.04621,983.566,1.24224,0,100.0%,0.0%
270.7,93.3691,1.04752,987.02,1.24466,0,100.0%,0.0%
270.65,90.4073,1.04883,990.265,1.24693,0,100.0%,0.0%
270.6,87.6209,1.05014,993.317,1.24906,0,100.0%,0.0%
270.55,84.9954,1.05145,996.194,1.25107,0,100.0%,0.0%
270.5,82.5174,1.05276,998.909,1.25296,0,100.0%,0.0%
270.45,80.175,1.05407,1001.48,1.25475,0,100.0%,0.0%
270.4,77.9579,1.05539,1003.9,1.25645,0,100.0%,0.0%
270.35,75.8563,1.0567,1006.21,1.25806,0,100.0%,0.0%
270.3,73.8619,1.05801,1008.39,1.25958,0,100.0%,0.0%
270.25,71.9667,1.05932,1010.47,1.26103,0,100.0%,0.0%
270.2,70.1637,1.06064,1012.45,1.26241,0,100.0%,0.0%
270.15,68.4467,1.06195,1014.33,1.26372,0,100.0%,0.0%
270.1,66.8097,1.06327,1016.12,1.26497,0,100.0%,0.0%
270.05,65.2475,1.06458,1017.84,1.26617,0,100.0%,0.0%
270,63.7552,1.06589,1019.47,1.26731,0,100.0%,0.0%
269.95,62.3283,1.0672,1021.04,1.2684,0,100.0%,0.0%
269.9,60.9629,1.06851,1022.53,1.26944,0,100.0%,0.0%
269.85,59.6551,1.06982,1023.97,1.27044,0,100.0%,0.0%
269.8,58.4016,1.07113,1025.34,1.2714,0,100.0%,0.0%
269.75,57.199,1.07244,1026.66,1.27233,0,100.0%,0.0%
269.7,56.0445,1.07375,1027.93,1.27321,0,100.0%,0.0%
269.65,54.9353,1.07505,1029.15,1.27406,0,100.0%,0.0%
269.6,53.8692,1.07636,1030.32,1.27488,0,100.0%,0.0%
269.55,52.8434,1.07766,1031.44,1.27567,0,100.0%,0.0%
269.5,51.856,1.07896,1032.53,1.27643,0,100.0%,0.0%
269.45,50.9049,1.08026,1033.57,1.27716,0,100.0%,0.0%
269.4,49.9883,1.08155,1034.58,1.27787,0,100.0%,0.0%
269.35,49.1042,1.08285,1035.55,1.27855,0,100.0%,0.0%
269.3,48.2513,1.08414,1036.48,1.27921,0,100.0%,0.0%
269.25,47.4278,1.08543,1037.39,1.27984,0,100.0%,0.0%
269.2,46.6324,1.08672,1038.26,1.28046,0,100.0%,0.0%
269.15,45.8637,1.08801,1039.1,1.28106,0,100.0%,0.0%
269.1,45.1206,1.08928,1039.92,1.28163,0,100.0%,0.0%
269.05,44.4015,1.09057,1040.71,1.28219,0,100.0%,0.0%
269,43.7058,1.09184,1041.47,1.28273,0,100.0%,0.0%
268.95,43.032,1.09312,1042.21,1.28326,0,100.0%,0.0%
268.9,42.3448,1.09436,1042.96,1.28381,0.00796637,99.4%,0.6%
268.85,41.4278,1.09534,1043.9,1.28462,0.074662,94.5%,5.5%
268.8,40.5503,1.09632,1044.8,1.28539,0.138677,90.3%,9.7%
268.75,39.7101,1.09729,1045.66,1.28614,0.200094,86.5%,13.5%
268.7,38.9047,1.09826,1046.49,1.28686,0.25914,83.2%,16.8%
268.65,38.1322,1.09923,1047.28,1.28755,0.315896,80.3%,19.7%
268.6,37.3905,1.10019,1048.04,1.28821,0.370528,77.7%,22.3%
268.55,36.6779,1.10114,1048.77,1.28885,0.423185,75.3%,24.7%
268.5,35.9928,1.1021,1049.47,1.28947,0.473887,73.1%,26.9%
268.45,35.3337,1.10305,1050.14,1.29006,0.522813,71.2%,28.8%
268.4,34.699,1.10399,1050.79,1.29063,0.570043,69.4%,30.6%
268.35,34.0875,1.10493,1051.42,1.29119,0.615685,67.7%,32.3%
268.3,33.4981,1.10587,1052.02,1.29172,0.659759,66.2%,33.8%
268.25,32.9295,1.1068,1052.61,1.29224,0.702407,64.8%,35.2%
268.2,32.3807,1.10773,1053.17,1.29274,0.743662,63.5%,36.5%
268.15,31.8506,1.10866,1053.71,1.29323,0.783621,62.3%,37.7%
268.1,31.3384,1.10957,1054.23,1.2937,0.82238,61.1%,38.9%
268.05,30.8432,1.1105,1054.74,1.29415,0.859848,60.1%,39.9%
268,30.3642,1.11141,1055.23,1.29459,0.896238,59.1%,40.9%
267.95,29.9006,1.11232,1055.7,1.29502,0.931552,58.2%,41.8%
267.9,29.4517,1.11323,1056.16,1.29544,0.965825,57.3%,42.7%
267.85,29.0169,1.11412,1056.61,1.29584,0.999179,56.5%,43.5%
267.8,28.5954,1.11502,1057.04,1.29623,1.03149,55.7%,44.3%
267.75,28.1867,1.11593,1057.46,1.29661,1.06287,55.0%,45.0%
267.7,27.7903,1.11681,1057.86,1.29699,1.09351,54.3%,45.7%
267.65,27.4056,1.1177,1058.25,1.29735,1.12327,53.6%,46.4%
267.6,27.0321,1.11859,1058.64,1.2977,1.1522,53.0%,47.0%
267.55,26.6693,1.11946,1059.01,1.29804,1.18042,52.4%,47.6%
267.5,26.3169,1.12033,1059.37,1.29837,1.20793,51.8%,48.2%
267.45,25.9743,1.1212,1059.72,1.2987,1.23473,51.3%,48.7%
267.4,25.6411,1.12208,1060.06,1.29901,1.26077,50.7%,49.3%
267.35,25.3171,1.12293,1060.39,1.29932,1.28631,50.3%,49.7%
267.3,25.0018,1.12379,1060.71,1.29963,1.31115,49.8%,50.2%
267.25,24.6949,1.12465,1061.02,1.29992,1.33538,49.3%,50.7%
267.2,24.396,1.1255,1061.33,1.30021,1.35903,48.9%,51.1%
267.15,24.1049,1.12635,1061.62,1.30049,1.38216,48.5%,51.5%
267.1,23.8213,1.12719,1061.91,1.30076,1.40472,48.1%,51.9%
267.05,23.5449,1.12803,1062.2,1.30103,1.42679,47.7%,52.3%
267,23.2754,1.12887,1062.47,1.30129,1.44836,47.3%,52.7%
266.95,23.0126,1.1297,1062.74,1.30154,1.46945,47.0%,53.0%
266.9,22.7563,1.13053,1063,1.3018,1.49008,46.6%,53.4%
266.85,22.506,1.13137,1063.25,1.30204,1.51019,46.3%,53.7%
266.8,22.2619,1.13219,1063.5,1.30228,1.52993,46.0%,54.0%
266.75,22.0235,1.133,1063.75,1.30251,1.5493,45.7%,54.3%
266.7,21.7908,1.13381,1063.98,1.30274,1.56822,45.4%,54.6%
266.65,21.5634,1.13462,1064.21,1.30297,1.58675,45.1%,54.9%
266.6,21.3412,1.13543,1064.44,1.30319,1.6049,44.8%,55.2%
266.55,21.1241,1.13623,1064.66,1.3034,1.62269,44.5%,55.5%
266.5,20.9118,1.13704,1064.88,1.30361,1.64011,44.3%,55.7%
266.45,20.7042,1.13783,1065.09,1.30382,1.65719,44.0%,56.0%
266.4,20.5013,1.13863,1065.3,1.30403,1.67395,43.8%,56.2%
266.35,20.3027,1.13942,1065.5,1.30422,1.69037,43.6%,56.4%
266.3,20.1084,1.1402,1065.7,1.30442,1.70649,43.3%,56.7%
266.25,19.9183,1.14099,1065.89,1.30461,1.7223,43.1%,56.9%
266.2,19.7321,1.14177,1066.08,1.3048,1.73782,42.9%,57.1%
266.15,19.55,1.14254,1066.26,1.30499,1.75307,42.7%,57.3%
266.1,19.3715,1.14332,1066.45,1.30517,1.768,42.5%,57.5%
266.05,19.1967,1.14409,1066.62,1.30534,1.78268,42.3%,57.7%
266,19.0255,1.14485,1066.8,1.30552,1.7971,42.1%,57.9%
265.95,18.8576,1.14562,1066.97,1.30569,1.81126,41.9%,58.1%
265.9,18.6932,1.14637,1067.13,1.30586,1.82519,41.7%,58.3%
265.85,18.532,1.14713,1067.3,1.30603,1.83886,41.5%,58.5%
265.8,18.374,1.14788,1067.46,1.30619,1.85231,41.4%,58.6%
265.75,18.2191,1.14863,1067.62,1.30635,1.86553,41.2%,58.8%
265.7,18.0671,1.14938,1067.77,1.30651,1.87851,41.0%,59.0%
265.65,17.918,1.15012,1067.92,1.30666,1.89129,40.9%,59.1%
265.6,17.7717,1.15086,1068.07,1.30682,1.90385,40.7%,59.3%
265.55,17.6282,1.15159,1068.22,1.30697,1.91622,40.5%,59.5%
265.5,17.4873,1.15233,1068.36,1.30712,1.92837,40.4%,59.6%
265.45,17.3491,1.15306,1068.5,1.30726,1.94034,40.3%,59.7%
265.4,17.2133,1.15379,1068.64,1.3074,1.9521,40.1%,59.9%
265.35,17.08,1.15451,1068.77,1.30754,1.96369,40.0%,60.0%
265.3,16.9491,1.15523,1068.9,1.30768,1.9751,39.8%,60.2%
265.25,16.8205,1.15595,1069.03,1.30782,1.98633,39.7%,60.3%
265.2,16.6942,1.15666,1069.16,1.30796,1.99741,39.6%,60.4%
265.15,16.5701,1.15737,1069.29,1.30809,2.0083,39.4%,60.6%
265.1,16.4482,1.15808,1069.41,1.30822,2.01904,39.3%,60.7%
265.05,16.3282,1.1588,1069.53,1.30835,2.02958,39.2%,60.8%
265,16.2104,1.1595,1069.65,1.30847,2.03999,39.1%,60.9%
264.95,16.0946,1.1602,1069.77,1.3086,2.05026,39.0%,61.0%
