T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,Vol%,
,,,,Gypsum,Mirabilite,Gypsum,Mirabilite
272.1,684.634,1.01221,340.034,0.756287,0,100.0%,0.0%
272.05,567.699,1.01338,127.929,0.561003,0,100.0%,0.0%
272,484.103,1.01456,91.4583,0.530302,0,100.0%,0.0%
271.95,421.412,1.01575,68.5899,0.511505,0,100.0%,0.0%
271.9,372.688,1.01696,53.3094,0.499196,0,100.0%,0.0%
271.85,333.757,1.01818,42.5967,0.490708,0,100.0%,0.0%
271.8,301.954,1.0194,34.7987,0.484618,0,100.0%,0.0%
271.75,275.499,1.02063,28.948,0.480108,0,100.0%,0.0%
271.7,253.158,1.02187,24.4472,0.476673,0,100.0%,0.0%
271.65,234.048,1.02311,20.9119,0.474001,0,100.0%,0.0%
271.6,217.522,1.02437,18.0852,0.471882,0,100.0%,0.0%
271.55,203.094,1.02562,15.79,0.470174,0,100.0%,0.0%
271.5,190.392,1.02688,13.9015,0.468777,0,100.0%,0.0%
271.45,179.127,1.02815,12.3292,0.46762,0,100.0%,0.0%
271.4,169.071,1.02942,11.0066,0.466652,0,100.0%,0.0%
271.35,160.042,1.03069,9.88355,0.465834,0,100.0%,0.0%
271.3,151.891,1.03197,8.92203,0.465136,0,100.0%,0.0%
271.25,144.498,1.03325,8.09264,0.464537,0,100.0%,0.0%
271.2,137.764,1.03454,7.37228,0.464017,0,100.0%,0.0%
271.15,131.605,1.03582,6.74271,0.463564,0,100.0%,0.0%
271.1,125.952,1.03711,6.1894,0.463168,0,100.0%,0.0%
271.05,120.746,1.03841,5.70051,0.462818,0,100.0%,0.0%
271,115.936,1.0397,5.26651,0.462509,0,100.0%,0.0%
270.95,111.48,1.041,4.87945,0.462233,0,100.0%,0.0%
270.9,107.341,1.0423,4.53288,0.461987,0,100.0%,0.0%
270.85,103.486,1.0436,4.22133,0.461765,0,100.0%,0.0%
270.8,99.8884,1.04491,3.94028,0.461566,0,100.0%,0.0%
270.75,96.5232,1.04621,3.68588,0.461386,0,100.0%,0.0%
270.7,93.3691,1.04752,3.45488,0.461223,0,100.0%,0.0%
270.65,90.4073,1.04883,3.24453,0.461075,0,100.0%,0.0%
270.6,87.6209,1.05014,3.0524,0.460939,0,100.0%,0.0%
270.55,84.9954,1.05145,2.87651,0.460816,0,100.0%,0.0%
270.5,82.5174,1.05276,2.71506,0.460702,0,100.0%,0.0%
270.45,80.175,1.05407,2.56651,0.460597,0,100.0%,0.0%
270.4,77.9579,1.05539,2.42956,0.460501,0,100.0%,0.0%
270.35,75.8563,1.0567,2.30302,0.460413,0,100.0%,0.0%
270.3,73.8618,1.05801,2.18586,0.460331,0,100.0%,0.0%
270.25,71.9666,1.05933,2.07719,0.460255,0,100.0%,0.0%
270.2,70.1637,1.06064,1.97621,0.460185,0,100.0%,0.0%
270.15,68.4467,1.06195,1.88222,0.460119,0,100.0%,0.0%
270.1,66.8097,1.06327,1.79459,0.460058,0,100.0%,0.0%
270.05,65.2475,1.06458,1.71277,0.460002,0,100.0%,0.0%
270,63.7552,1.06589,1.63623,0.459948,0,100.0%,0.0%
269.95,62.3283,1.0672,1.56457,0.459898,0,100.0%,0.0%
269.9,60.9629,1.06851,1.49736,0.459852,0,100.0%,0.0%
269.85,59.6551,1.06982,1.43425,0.459808,0,100.0%,0.0%
269.8,58.4017,1.07113,1.37492,0.459768,0,100.0%,0.0%
269.75,57.199,1.07244,1.31906,0.459728,0,100.0%,0.0%
269.7,56.0445,1.07375,1.26642,0.459692,0,100.0%,0.0%
269.65,54.9355,1.07505,1.21676,0.459658,0,100.0%,0.0%
269.6,53.8692,1.07636,1.16986,0.459625,0,100.0%,0.0%
269.55,52.8435,1.07766,1.12552,0.459595,0,100.0%,0.0%
269.5,51.856,1.07896,1.08354,0.459566,0,100.0%,0.0%
269.45,50.9049,1.08026,1.04379,0.459539,0,100.0%,0.0%
269.4,49.9883,1.08155,1.0061,0.459514,0,100.0%,0.0%
269.35,49.1042,1.08285,0.970319,0.459488,0,100.0%,0.0%
269.3,48.2513,1.08414,0.936346,0.459466,0,100.0%,0.0%
269.25,47.4278,1.08543,0.904045,0.459443,0,100.0%,0.0%
269.2,46.6324,1.08672,0.87332,0.459423,0,100.0%,0.0%
269.15,45.8637,1.08801,0.844061,0.459403,0,100.0%,0.0%
269.1,45.1204,1.08929,0.816184,0.459384,0,100.0%,0.0%
269.05,44.4014,1.09057,0.789605,0.459366,0,100.0%,0.0%
269,43.7056,1.09185,0.764242,0.459349,0,100.0%,0.0%
268.95,43.0319,1.09312,0.740026,0.459332,0,100.0%,0.0%
268.9,42.3448,1.09436,0.746797,0.459355,0.00794759,98.3%,1.7%
268.85,41.4278,1.09534,0.940222,0.459618,0.0667215,87.3%,12.7%
268.8,40.5503,1.09632,0.899548,0.459585,0.0640182,87.8%,12.2%
268.75,39.7101,1.09729,0.861127,0.459553,0.0614041,88.2%,11.8%
268.7,38.9047,1.09826,0.825489,0.459525,0.0590679,88.6%,11.4%
268.65,38.1321,1.09922,0.791586,0.459496,0.0567579,89.0%,11.0%
268.6,37.3905,1.10019,0.759798,0.45947,0.0546153,89.4%,10.6%
268.55,36.6779,1.10114,0.729946,0.459446,0.0526242,89.7%,10.3%
268.5,35.9928,1.1021,0.701773,0.459423,0.0507416,90.1%,9.9%
268.45,35.3337,1.10305,0.675017,0.459401,0.0489164,90.4%,9.6%
268.4,34.699,1.10399,0.649875,0.45938,0.0472356,90.7%,9.3%
268.35,34.0875,1.10493,0.626201,0.459362,0.0456826,91.0%,9.0%
268.3,33.4981,1.10587,0.603199,0.459341,0.044024,91.3%,8.7%
268.25,32.9295,1.1068,0.582075,0.459325,0.0426703,91.5%,8.5%
268.2,32.3807,1.10773,0.561585,0.459307,0.0412393,91.8%,8.2%
268.15,31.8506,1.10866,0.542406,0.459292,0.0399726,92.0%,8.0%
