T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,,Vol%,,,,
,,,,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite,Hydrohalite,Sylvite,Gypsum,Meridianiite,Mirabilite
270.55,242.578,1.04293,825.743,0,0,0.00626149,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.5,235.724,1.04396,833.247,0,0,0.0125712,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.45,229.239,1.045,840.347,0,0,0.0185482,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.4,223.095,1.04603,847.074,0,0,0.0242171,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.35,217.266,1.04706,853.457,0,0,0.0296024,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.3,211.729,1.04809,859.521,0,0,0.0347253,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.25,206.462,1.04912,865.288,0,0,0.0396048,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.2,201.447,1.05016,870.78,0,0,0.0442582,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.15,196.667,1.05119,876.016,0,0,0.0487008,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.1,192.105,1.05222,881.012,0,0,0.0529471,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270.05,187.747,1.05325,885.785,0,0,0.0570107,0,0,0.0%,0.0%,100.0%,0.0%,0.0%
270,183.377,1.05424,890.543,0,0,0.0610144,0,0.0296781,0.0%,0.0%,67.3%,0.0%,32.7%
269.95,176.273,1.05462,897.868,0,0,0.0664075,0,0.495808,0.0%,0.0%,11.8%,0.0%,88.2%
269.9,169.715,1.05501,904.631,0,0,0.0713637,0,0.925655,0.0%,0.0%,7.2%,0.0%,92.8%
269.85,163.643,1.05539,910.893,0,0,0.0759316,0,1.32325,0.0%,0.0%,5.4%,0.0%,94.6%
269.8,158.005,1.05578,916.708,0,0,0.080153,0,1.69203,0.0%,0.0%,4.5%,0.0%,95.5%
269.75,152.755,1.05616,922.123,0,0,0.0840651,0,2.03507,0.0%,0.0%,4.0%,0.0%,96.0%
269.7,147.855,1.05655,927.177,0,0,0.0876982,0,2.35489,0.0%,0.0%,3.6%,0.0%,96.4%
269.65,143.27,1.05694,931.906,0,0,0.09108,0,2.65377,0.0%,0.0%,3.3%,0.0%,96.7%
269.6,138.972,1.05733,936.34,0,0,0.0942339,0,2.93365,0.0%,0.0%,3.1%,0.0%,96.9%
269.55,134.934,1.05771,940.506,0,0,0.0971816,0,3.19633,0.0%,0.0%,3.0%,0.0%,97.0%
269.5,131.133,1.0581,944.428,0,0,0.0999412,0,3.4433,0.0%,0.0%,2.8%,0.0%,97.2%
269.45,127.549,1.05849,948.127,0,0,0.102529,0,3.6759,0.0%,0.0%,2.7%,0.0%,97.3%
269.4,124.163,1.05888,951.62,0,0,0.104959,0,3.89534,0.0%,0.0%,2.6%,0.0%,97.4%
269.35,120.96,1.05927,954.926,0,0,0.107245,0,4.10269,0.0%,0.0%,2.5%,0.0%,97.5%
269.3,117.926,1.05966,958.058,0,0,0.109398,0,4.29892,0.0%,0.0%,2.5%,0.0%,97.5%
269.25,115.046,1.06005,961.03,0,0,0.111429,0,4.48488,0.0%,0.0%,2.4%,0.0%,97.6%
269.2,112.31,1.06045,963.855,0,0,0.113347,0,4.66136,0.0%,0.0%,2.4%,0.0%,97.6%
269.15,109.707,1.06084,966.542,0,0,0.11516,0,4.82904,0.0%,0.0%,2.3%,0.0%,97.7%
269.1,107.228,1.06123,969.101,0,0,0.116876,0,4.98856,0.0%,0.0%,2.3%,0.0%,97.7%
269.05,104.863,1.06162,971.543,0,0,0.118501,0,5.14049,0.0%,0.0%,2.3%,0.0%,97.7%
269,102.606,1.06202,973.873,0,0,0.120043,0,5.28535,0.0%,0.0%,2.2%,0.0%,97.8%
268.95,100.449,1.06241,976.101,0,0,0.121507,0,5.42361,0.0%,0.0%,2.2%,0.0%,97.8%
268.9,98.3851,1.0628,978.233,0,0,0.122897,0,5.55571,0.0%,0.0%,2.2%,0.0%,97.8%
