T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,Vol%,,
,,,,Mirabilite,Dolomite,Magnesite,Mirabilite,Dolomite,Magnesite
272,949.065,1.01426,52.2563,0,0.0593413,0.177164,0.0%,25.1%,74.9%
271.95,825.419,1.01556,187.812,0,0.0626198,0.191385,0.0%,24.7%,75.3%
271.9,729.361,1.01687,293.129,0,0.0655988,0.203728,0.0%,24.4%,75.6%
271.85,652.674,1.01818,377.211,0,0.0683144,0.214566,0.0%,24.1%,75.9%
271.8,590.092,1.01949,445.831,0,0.0708002,0.22418,0.0%,24.0%,76.0%
271.75,538.086,1.0208,502.858,0,0.073086,0.232784,0.0%,23.9%,76.1%
271.7,494.206,1.02211,550.976,0,0.0751974,0.240546,0.0%,23.8%,76.2%
271.65,456.701,1.02343,592.106,0,0.0771565,0.247599,0.0%,23.8%,76.2%
271.6,424.285,1.02474,627.657,0,0.0789819,0.254047,0.0%,23.7%,76.3%
271.55,395.994,1.02606,658.686,0,0.0806899,0.259979,0.0%,23.7%,76.3%
271.5,371.092,1.02738,686,0,0.0822941,0.265463,0.0%,23.7%,76.3%
271.45,349.005,1.0287,710.227,0,0.0838063,0.27056,0.0%,23.6%,76.4%
271.4,329.283,1.03002,731.862,0,0.0852368,0.275319,0.0%,23.6%,76.4%
271.35,311.565,1.03134,751.299,0,0.0865945,0.279781,0.0%,23.6%,76.4%
271.3,295.56,1.03267,768.858,0,0.087887,0.283982,0.0%,23.6%,76.4%
271.25,281.029,1.034,784.801,0,0.089121,0.287952,0.0%,23.6%,76.4%
271.2,267.777,1.03533,799.342,0,0.0903026,0.291719,0.0%,23.6%,76.4%
271.15,255.64,1.03667,812.66,0,0.0914372,0.295305,0.0%,23.6%,76.4%
271.1,244.48,1.03801,824.907,0,0.0925291,0.29873,0.0%,23.6%,76.4%
271.05,234.184,1.03935,836.207,0,0.0935828,0.302014,0.0%,23.7%,76.3%
271,224.65,1.0407,846.671,0,0.094602,0.305171,0.0%,23.7%,76.3%
270.95,215.797,1.04206,856.389,0,0.0955901,0.308216,0.0%,23.7%,76.3%
270.9,207.55,1.04342,865.442,0,0.0965501,0.311162,0.0%,23.7%,76.3%
270.85,199.847,1.04478,873.898,0,0.097485,0.314021,0.0%,23.7%,76.3%
270.8,192.634,1.04616,881.818,0,0.0983972,0.316804,0.0%,23.7%,76.3%
270.75,185.862,1.04754,889.254,0,0.0992891,0.319519,0.0%,23.7%,76.3%
270.7,179.488,1.04893,896.252,0,0.100163,0.322178,0.0%,23.7%,76.3%
270.65,173.477,1.05033,902.854,0,0.101021,0.324787,0.0%,23.7%,76.3%
270.6,167.795,1.05174,909.095,0,0.101865,0.327357,0.0%,23.7%,76.3%
270.55,162.413,1.05316,915.007,0,0.102697,0.329892,0.0%,23.7%,76.3%
270.5,157.303,1.05459,920.62,0,0.103518,0.332403,0.0%,23.7%,76.3%
270.45,152.443,1.05603,925.96,0,0.104331,0.334895,0.0%,23.8%,76.2%
270.4,147.811,1.05749,931.05,0,0.105137,0.337375,0.0%,23.8%,76.2%
270.35,143.388,1.05897,935.911,0,0.105937,0.339852,0.0%,23.8%,76.2%
270.3,139.155,1.06046,940.563,0,0.106734,0.342332,0.0%,23.8%,76.2%
270.25,135.096,1.06197,945.024,0,0.107529,0.344821,0.0%,23.8%,76.2%
270.2,131.197,1.0635,949.311,0,0.108325,0.34733,0.0%,23.8%,76.2%
270.15,127.442,1.06506,953.439,0,0.109121,0.349863,0.0%,23.8%,76.2%
270.1,123.095,1.06648,958.113,0.106818,0.110157,0.353406,18.7%,19.3%,62.0%
270.05,116.951,1.06739,964.464,0.515169,0.111846,0.359706,52.2%,11.3%,36.5%
270,111.358,1.06832,970.249,0.884307,0.113427,0.365623,64.9%,8.3%,26.8%
269.95,106.244,1.06926,975.542,1.21914,0.11491,0.371198,71.5%,6.7%,21.8%
269.9,101.551,1.07021,980.402,1.52316,0.116305,0.376456,75.6%,5.8%,18.7%
269.85,97.2262,1.07118,984.884,1.80008,0.117621,0.381434,78.3%,5.1%,16.6%
269.8,93.2265,1.07217,989.033,2.05263,0.118866,0.386159,80.3%,4.6%,15.1%
269.75,89.5146,1.07318,992.888,2.28308,0.120047,0.390654,81.7%,4.3%,14.0%
269.7,86.0578,1.07423,996.483,2.49335,0.121169,0.39494,82.9%,4.0%,13.1%
269.65,82.8271,1.07531,999.847,2.68518,0.122238,0.399043,83.7%,3.8%,12.4%
269.6,79.7972,1.07643,1003.01,2.85981,0.123262,0.40298,84.5%,3.6%,11.9%
269.55,76.945,1.0776,1005.99,3.01827,0.124243,0.406772,85.0%,3.5%,11.5%
269.5,74.2489,1.07883,1008.82,3.16138,0.125189,0.410442,85.5%,3.4%,11.1%
269.45,71.6881,1.08014,1011.51,3.28975,0.126105,0.414016,85.9%,3.3%,10.8%
269.4,69.2436,1.08154,1014.09,3.40294,0.126997,0.417508,86.2%,3.2%,10.6%
269.35,66.8922,1.08307,1016.58,3.50089,0.127873,0.420962,86.4%,3.2%,10.4%
269.3,64.6076,1.08476,1019.01,3.58225,0.128744,0.424422,86.6%,3.1%,10.3%
269.25,62.352,1.0867,1021.44,3.6444,0.129628,0.427969,86.7%,3.1%,10.2%
269.2,60.0591,1.08904,1023.93,3.68086,0.130558,0.431749,86.7%,3.1%,10.2%
269.15,57.5497,1.09225,1026.7,3.67179,0.131628,0.436181,86.6%,3.1%,10.3%
