T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,,Vol%,,,
,,,,Mirabilite,Hydromagnesite,Ikaite,Nahcolite,Mirabilite,Hydromagnesite,Ikaite,Nahcolite
271.8,804.701,1.01514,210.871,0,0,0.00357093,0,0.00%,0.00%,100.00%,0.00%
271.75,737.209,1.01607,284.848,0,0,0.0106141,0,0.00%,0.00%,100.00%,0.00%
271.7,680.006,1.01699,347.548,0,0,0.0172005,0,0.00%,0.00%,100.00%,0.00%
271.65,630.918,1.01791,401.354,0,0,0.0234106,0,0.00%,0.00%,100.00%,0.00%
271.6,588.341,1.01884,448.024,0,0,0.029303,0,0.00%,0.00%,100.00%,0.00%
271.55,551.066,1.01976,488.881,0,0,0.0349226,0,0.00%,0.00%,100.00%,0.00%
271.5,518.167,1.02068,524.944,0,0,0.0403039,0,0.00%,0.00%,100.00%,0.00%
271.45,488.919,1.0216,557.004,0,0,0.0454744,0,0.00%,0.00%,100.00%,0.00%
271.4,462.751,1.02252,585.689,0,0,0.0504562,0,0.00%,0.00%,100.00%,0.00%
271.35,439.203,1.02345,611.502,0,0,0.0552674,0,0.00%,0.00%,100.00%,0.00%
271.3,417.902,1.02437,634.852,0,0,0.0599244,0,0.00%,0.00%,100.00%,0.00%
271.25,398.543,1.02529,656.074,0,0,0.0644389,0,0.00%,0.00%,100.00%,0.00%
271.2,380.874,1.02621,675.444,0,0,0.0688228,0,0.00%,0.00%,100.00%,0.00%
271.15,364.684,1.02712,693.192,0,0,0.0730861,0,0.00%,0.00%,100.00%,0.00%
271.1,349.796,1.02804,709.514,0,0,0.0772367,0,0.00%,0.00%,100.00%,0.00%
271.05,336.059,1.02896,724.573,0,0,0.081283,0,0.00%,0.00%,100.00%,0.00%
271,323.347,1.02988,738.509,0,0,0.0852315,0,0.00%,0.00%,100.00%,0.00%
270.95,311.549,1.03079,751.444,0,0,0.0890877,0,0.00%,0.00%,100.00%,0.00%
270.9,300.57,1.03171,763.48,0,0,0.0928592,0,0.00%,0.00%,100.00%,0.00%
270.85,290.329,1.03262,774.708,0,0,0.0965483,0,0.00%,0.00%,100.00%,0.00%
270.8,280.755,1.03354,785.206,0,0,0.100163,0,0.00%,0.00%,100.00%,0.00%
270.75,271.784,1.03445,795.042,0,0,0.103706,0,0.00%,0.00%,100.00%,0.00%
270.7,263.361,1.03536,804.276,0,0,0.10718,0,0.00%,0.00%,100.00%,0.00%
270.65,255.439,1.03627,812.963,0,0,0.110591,0,0.00%,0.00%,100.00%,0.00%
270.6,247.974,1.03718,821.148,0,0,0.113941,0,0.00%,0.00%,100.00%,0.00%
270.55,240.927,1.03809,828.874,0,0,0.117234,0,0.00%,0.00%,100.00%,0.00%
270.5,234.266,1.039,836.178,0,0,0.120472,0,0.00%,0.00%,100.00%,0.00%
270.45,227.959,1.03991,843.094,0,0,0.123661,0,0.00%,0.00%,100.00%,0.00%
270.4,221.979,1.04082,849.652,0,0,0.126799,0,0.00%,0.00%,100.00%,0.00%
270.35,216.301,1.04172,855.878,0,0,0.129892,0,0.00%,0.00%,100.00%,0.00%
270.3,210.903,1.04263,861.797,0,0,0.132941,0,0.00%,0.00%,100.00%,0.00%
