T(K),Vsol (cm3),ρsol (g/cm3),V_ice (cm3),Individual salt volumes (cm3),,,Vol%,,
,,,,Mirabilite,Ikaite,Nahcolite,Mirabilite,Ikaite,Nahcolite
271.75,737.209,1.01607,284.848,0,0.0106142,0,0.0%,100.0%,0.0%
271.7,680.006,1.01699,62.6996,0,0.00658636,0,0.0%,100.0%,0.0%
271.65,630.918,1.01791,53.806,0,0.00621011,0,0.0%,100.0%,0.0%
271.6,588.341,1.01884,46.6699,0,0.00589241,0,0.0%,100.0%,0.0%
271.55,551.066,1.01976,40.858,0,0.00561959,0,0.0%,100.0%,0.0%
271.5,518.167,1.02068,36.0624,0,0.00538128,0,0.0%,100.0%,0.0%
271.45,488.919,1.0216,32.0598,0,0.00517038,0,0.0%,100.0%,0.0%
271.4,462.751,1.02252,28.685,0,0.00498192,0,0.0%,100.0%,0.0%
271.35,439.203,1.02345,25.8135,0,0.00481141,0,0.0%,100.0%,0.0%
271.3,417.902,1.02437,23.3502,0,0.0046566,0,0.0%,100.0%,0.0%
271.25,398.543,1.02529,21.2215,0,0.00451466,0,0.0%,100.0%,0.0%
271.2,380.874,1.02621,19.3696,0,0.00438397,0,0.0%,100.0%,0.0%
271.15,364.684,1.02712,17.7485,0,0.00426307,0,0.0%,100.0%,0.0%
271.1,349.796,1.02804,16.3216,0,0.00415077,0,0.0%,100.0%,0.0%
271.05,336.059,1.02896,15.0591,0,0.00404635,0,0.0%,100.0%,0.0%
271,323.347,1.02988,13.9367,0,0.00394758,0,0.0%,100.0%,0.0%
270.95,311.549,1.03079,12.9347,0,0.00385748,0,0.0%,100.0%,0.0%
270.9,300.57,1.03171,12.0362,0,0.00377101,0,0.0%,100.0%,0.0%
270.85,290.329,1.03262,11.2277,0,0.00369027,0,0.0%,100.0%,0.0%
270.8,280.755,1.03354,10.4976,0,0.00361426,0,0.0%,100.0%,0.0%
270.75,271.784,1.03445,9.83592,0,0.00354205,0,0.0%,100.0%,0.0%
270.7,263.361,1.03536,9.23458,0,0.00347516,0,0.0%,100.0%,0.0%
270.65,255.439,1.03627,8.6864,0,0.00341057,0,0.0%,100.0%,0.0%
270.6,247.974,1.03718,8.18534,0,0.00334988,0,0.0%,100.0%,0.0%
270.55,240.927,1.03809,7.72617,0,0.00329317,0,0.0%,100.0%,0.0%
270.5,234.266,1.039,7.30434,0,0.00323848,0,0.0%,100.0%,0.0%
270.45,227.959,1.03991,6.91596,0,0.00318786,0,0.0%,100.0%,0.0%
270.4,221.979,1.04082,6.55755,0,0.00313818,0,0.0%,100.0%,0.0%
270.35,216.301,1.04172,6.22616,0,0.00309302,0,0.0%,100.0%,0.0%
270.3,210.903,1.04263,5.91911,0,0.00304862,0,0.0%,100.0%,0.0%
270.25,205.766,1.04353,5.63411,0,0.00300682,0,0.0%,100.0%,0.0%
270.2,200.87,1.04443,5.3691,0,0.0029679,0,0.0%,100.0%,0.0%
270.15,196.199,1.04534,5.12226,0,0.0029297,0,0.0%,100.0%,0.0%
270.1,191.739,1.04624,4.89198,0,0.00289501,0,0.0%,100.0%,0.0%
270.05,187.474,1.04714,4.67679,0,0.00286033,0,0.0%,100.0%,0.0%
270,183.394,1.04804,4.47545,0,0.00282907,0,0.0%,100.0%,0.0%
269.95,179.485,1.04894,4.28676,0,0.00279771,0,0.0%,100.0%,0.0%
269.9,175.738,1.04983,4.10972,0,0.00276956,0,0.0%,100.0%,0.0%
269.85,172.143,1.05073,3.94336,0,0.00274117,0,0.0%,100.0%,0.0%
269.8,168.691,1.05162,3.78689,0,0.00271616,0,0.0%,100.0%,0.0%
269.75,165.372,1.05252,3.63949,0,0.00269001,0,0.0%,100.0%,0.0%
269.7,162.181,1.05341,3.50052,0,0.00266672,0,0.0%,100.0%,0.0%
269.65,159.11,1.0543,3.36934,0,0.00264456,0,0.0%,100.0%,0.0%
269.6,156.151,1.05519,3.24537,0,0.00262295,0,0.0%,100.0%,0.0%
269.55,153.3,1.05608,3.12811,0,0.00260264,0,0.0%,100.0%,0.0%
269.5,150.549,1.05697,3.01708,0,0.00258345,0,0.0%,100.0%,0.0%
269.45,147.741,1.05781,3.05343,0.0278822,0.00294708,0,90.4%,9.6%,0.0%
269.4,144.144,1.0583,3.75608,0.191084,0.00517022,0,97.4%,2.6%,0.0%
269.35,140.737,1.0588,3.56027,0.179327,0.00499228,0,97.3%,2.7%,0.0%
269.3,137.503,1.05931,3.37987,0.168555,0.00482115,0,97.2%,2.8%,0.0%
269.25,134.431,1.05982,3.21303,0.158606,0.00465437,0,97.1%,2.9%,0.0%
269.2,131.508,1.06033,3.0586,0.149438,0.0044936,0,97.1%,2.9%,0.0%
269.15,128.722,1.06084,2.91608,0.141126,0.00434513,0,97.0%,3.0%,0.0%
